epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4982.58,1.12647,1.27103,1.42063,0.76666,0.68321,0.75331,0.493,1.20692,1.04284,1.48362,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5115.42,1.1188,1.2493,1.41477,0.79182,0.6769,0.75628,0.49907,1.19501,1.01323,1.4732,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5250.63,1.11899,1.24829,1.41762,0.79411,0.6849,0.7553,0.50718,1.15869,1.01612,1.44363,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5388.91,1.11915,1.23315,1.40726,0.78305,0.70109,0.76711,0.511,1.18293,0.99955,1.45316,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5532.06,1.09792,1.20842,1.39519,0.78556,0.7114,0.7757,0.51717,1.1728,0.96539,1.46037,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5667.06,1.08504,1.19058,1.39053,0.79445,0.69691,0.76972,0.51311,1.18203,0.98233,1.46015,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5800.61,1.08511,1.18076,1.38563,0.79757,0.71502,0.77546,0.5138,1.18546,0.97464,1.46221,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5934.51,1.08132,1.16348,1.38124,0.81471,0.69927,0.77299,0.51911,1.166,0.95754,1.44986,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6067.91,1.07296,1.1689,1.37883,0.79417,0.71556,0.78594,0.52543,1.15883,0.945,1.44453,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6201.84,1.06961,1.1466,1.37451,0.78589,0.71637,0.78668,0.5311,1.15951,0.93536,1.4363,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6335.72,1.05911,1.12581,1.36656,0.80196,0.72679,0.79543,0.53424,1.163,0.92394,1.43626,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6470.5,1.06327,1.13152,1.3693,0.80735,0.73532,0.79754,0.53625,1.14866,0.90064,1.42577,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6603.82,1.0591,1.1083,1.35918,0.81459,0.74157,0.80656,0.54336,1.15347,0.89372,1.43567,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6737.62,1.05067,1.12262,1.35556,0.81623,0.74193,0.80809,0.54676,1.13745,0.90012,1.41376,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6871.22,1.04643,1.08567,1.35398,0.83045,0.72006,0.79658,0.54132,1.14284,0.90816,1.42098,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7004.1,1.03541,1.09369,1.34954,0.82238,0.72881,0.80279,0.54928,1.12972,0.88358,1.41174,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7138.07,1.02643,1.0741,1.34346,0.83604,0.72192,0.80711,0.54526,1.14607,0.88876,1.42763,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
